code	company_name
6370	栗田工業株式会社
1963	日揮ホールディングス株式会社
6379	レイズネクスト株式会社
6371	株式会社椿本チエイン
6373	大同工業株式会社
6380	オリエンタルチエン工業株式会社
6390	株式会社加藤製作所
6317	株式会社北川鉄工所
6305	日立建機株式会社
7719	株式会社東京衡機
6728	株式会社　アルバック
6436	アマノ株式会社
6376	日機装株式会社
7259	株式会社アイシン
6448	ブラザー工業株式会社
6445	株式会社ジャノメ
6440	ＪＵＫＩ株式会社
6463	ＴＰＲ株式会社
6471	日本精工株式会社
6472	ＮＴＮ株式会社
6473	株式会社ジェイテクト
6474	株式会社不二越
6479	ミネベアミツミ株式会社
6492	岡野バルブ製造株式会社
6358	酒井重工業株式会社
6393	油研工業株式会社
6395	株式会社タダノ
6325	株式会社タカキタ
6973	協栄産業株式会社
6343	フリージア・マクロス株式会社
6406	フジテック株式会社
6495	株式会社宮入バルブ製作所
6382	トリニティ工業株式会社
6246	株式会社テクノスマート
6346	キクカワエンタープライズ株式会社
4543	テルモ株式会社
6480	日本トムソン株式会社
6357	三精テクノロジーズ株式会社
6396	株式会社宇野澤組鐵工所
6363	株式会社酉島製作所
6282	オイレス工業株式会社
6247	株式会社日阪製作所
7255	株式会社　桜井製作所
6490	株式会社ＰＩＬＬＡＲ
6403	水道機工株式会社
6408	小倉クラッチ株式会社
6494	株式会社ＮＦＫホールディングス
6496	株式会社中北製作所
6457	グローリー株式会社
6347	株式会社プラコー
6497	株式会社ハマイ
6455	株式会社モリタホールディングス
6465	ホシザキ株式会社
7986	日本アイ・エス・ケイ株式会社
6345	株式会社アイチコーポレーション
5946	株式会社長府製作所
6498	株式会社キッツ
6330	東洋エンジニアリング株式会社
6351	株式会社鶴見製作所
6364	北越工業株式会社
6340	澁谷工業株式会社
6349	株式会社小森コーポレーション
6458	新晃工業株式会社
6272	レオン自動機株式会社
6411	中野冷機株式会社
6489	前澤工業株式会社
6273	ＳＭＣ株式会社
6276	シリウスビジョン株式会社
6277	ホソカワミクロン株式会社
6279	株式会社瑞光
6481	ＴＨＫ株式会社
6284	日精エー・エス・ビー機械株式会社
6488	株式会社ヨシタケ
6286	靜甲株式会社
6287	サトーホールディングス株式会社
9895	株式会社コンセック
5953	昭和鉄工株式会社
6289	株式会社技研製作所
6149	株式会社小田原エンジニアリング
